#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
99lstwar;'99: The Last War (set 1);Arcade;repulse;1985;Crux / Proma;Shooter / Gallery;2;90;joystick (8-way),joystick (8-way);good;1;raster;repulse;;;2;;;;
1943kai;1943 Kai: Midway Kaisen (Japan);Arcade;;1987;Capcom;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
openice;2 On 2 Open Ice Challenge (rev 1.21);Arcade;;1995;Midway;Sports / Hockey;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
64street;64th. Street - A Detective Story (World);Arcade;;1991;Jaleco;Fighter / 2.5D;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
apb;APB - All Points Bulletin (rev 7);Arcade;;1987;Atari Games;Driving / Misc.;1;270;dial,pedal;good;1;raster;;;;2;;;;
airbustr;Air Buster: Trouble Specialty Raid Unit (World);Arcade;;1990;Kaneko (Namco license);Shooter / Flying Horizontal;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
airduel;Air Duel (World, M82 hardware);Arcade;;1990;Irem;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;4;;;;
astormbl;Alien Storm (bootleg, set 1);Arcade;astorm;1990;bootleg;Platform / Shooter Scrolling;3;0;joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;astorm;;;3;;;;
altbeast;Altered Beast (set 8) (8751 317-0078);Arcade;;1988;Sega;Platform / Fighter Scrolling;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
aquajack;Aqua Jack (World);Arcade;;1990;Taito Corporation Japan;Shooter / Driving (chase view);1;0;joystick (8-way),dial;imperfect;1;raster;;;;4;;;;
aquarium;Aquarium (US);Arcade;;1996;Excellent System;Puzzle / Drop;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
arabfgt;Arabian Fight (World);Arcade;;1991;Sega;Fighter / 2.5D;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;2;;;;
archrivl;Arch Rivals (rev 4.0 6/29/89);Arcade;;1989;Bally Midway;Sports / Basketball;2;0;joystick (analog),joystick (analog);good;1;raster;;;;2;;;;
