#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
'89 Dennou Kyuusei Uranai (Japan);'89 Dennou Kyuusei Uranai (Japan);Famicom;;;;;;;;;;;;;;;;;;
'93 Chaoji Hun (Contra '93) (Asia) (Pirate);'93 Chaoji Hun (Contra '93) (Asia) (Pirate);Famicom;;;;;;;;;;;;;;;;;;
10-Yard Fight (Japan) (Rev 1);10-Yard Fight (Japan) (Rev 1);Famicom;;;;;;;;;;;;;;;;;;
100 Man Dollar Kid - Maboroshi no Teiou Hen (Japan);100 Man Dollar Kid - Maboroshi no Teiou Hen (Japan);Famicom;;;;;;;;;;;;;;;;;;
1007 Bolts (World) (Aftermarket) (Unl);1007 Bolts (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
1942 (Japan, USA) (En);1942 (Japan, USA) (En);Famicom;;;;;;;;;;;;;;;;;;
1943 (Japan) (FamicomBox);1943 (Japan) (FamicomBox);Famicom;;;;;;;;;;;;;;;;;;
1943 - The Battle of Midway (USA) (Retro-Bit Generations);1943 - The Battle of Midway (USA) (Retro-Bit Generations);Famicom;;;;;;;;;;;;;;;;;;
1943 - The Battle of Valhalla (Japan);1943 - The Battle of Valhalla (Japan);Famicom;;;;;;;;;;;;;;;;;;
1988 Jinpai Mali (Asia) (En) (Kaiser) (KS-7032) (Pirate);1988 Jinpai Mali (Asia) (En) (Kaiser) (KS-7032) (Pirate);Famicom;;;;;;;;;;;;;;;;;;
1991 Du Ma Racing (Asia) (Idea-Tek) (Unl);1991 Du Ma Racing (Asia) (Idea-Tek) (Unl);Famicom;;;;;;;;;;;;;;;;;;
1999 - Hore, Mitakotoka! Seikimatsu (Japan);1999 - Hore, Mitakotoka! Seikimatsu (Japan);Famicom;;;;;;;;;;;;;;;;;;
2010 Street Fighter (Japan);2010 Street Fighter (Japan);Famicom;;;;;;;;;;;;;;;;;;
2048 (World) (Rev 5) (Aftermarket) (Unl);2048 (World) (Rev 5) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
2A03 Puritans (World) (Aftermarket) (Unl);2A03 Puritans (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
3-D WorldRunner (USA);3-D WorldRunner (USA);Famicom;;;;;;;;;;;;;;;;;;
3D Block (Asia) (En) (Hwang Shinwei) (Unl);3D Block (Asia) (En) (Hwang Shinwei) (Unl);Famicom;;;;;;;;;;;;;;;;;;
4 Nin Uchi Mahjong (Japan) (Rev 1);4 Nin Uchi Mahjong (Japan) (Rev 1);Famicom;;;;;;;;;;;;;;;;;;
5-STAR Restaurant (World) (Aftermarket) (Unl);5-STAR Restaurant (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
