#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
007 - The World Is Not Enough (USA) (Beta);007 - The World Is Not Enough (USA) (Beta);Sony PlayStation;;;;;;;;;;;;;;;;;;
007 - The World Is Not Enough (USA);007 - The World Is Not Enough (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
007 - Tomorrow Never Dies (USA);007 - Tomorrow Never Dies (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
007 Racing (USA);007 Racing (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
16 Tales 1 (USA);16 Tales 1 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
16 Tales 2 (USA);16 Tales 2 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
16 Tales 3 (USA);16 Tales 3 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
16 Tales 4 (USA);16 Tales 4 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
1Xtreme (USA);1Xtreme (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
2002 FIFA World Cup (USA) (En,Es);2002 FIFA World Cup (USA) (En,Es);Sony PlayStation;;;;;;;;;;;;;;;;;;
2Xtreme (USA);2Xtreme (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
3D Baseball (USA);3D Baseball (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
3D Lemmings (USA);3D Lemmings (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
3Xtreme (USA) (Demo);3Xtreme (USA) (Demo);Sony PlayStation;;;;;;;;;;;;;;;;;;
3Xtreme (USA);3Xtreme (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
40 Winks (USA);40 Winks (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De);A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De);Sony PlayStation;;;;;;;;;;;;;;;;;;
ASCII Entertainment Demo CD (USA);ASCII Entertainment Demo CD (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
