#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
'96 Zenkoku Koukou Soccer Senshuken (Japan);'96 Zenkoku Koukou Soccer Senshuken (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
101 Dalmatas (USA) (Pirate);101 Dalmatas (USA) (Pirate);Super Famicom;;;;;;;;;;;;;;;;;;
16 BIT XMAS 2011 - Christmas Craze (World) (Aftermarket) (Unl) (Alt);16 BIT XMAS 2011 - Christmas Craze (World) (Aftermarket) (Unl) (Alt);Super Famicom;;;;;;;;;;;;;;;;;;
16 BIT XMAS 2012 - Snowball Fight (World) (Aftermarket) (Unl);16 BIT XMAS 2012 - Snowball Fight (World) (Aftermarket) (Unl);Super Famicom;;;;;;;;;;;;;;;;;;
2020 Super Baseball (Japan);2020 Super Baseball (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
2048 (World) (Aftermarket) (Unl);2048 (World) (Aftermarket) (Unl);Super Famicom;;;;;;;;;;;;;;;;;;
3 Ninjas Kick Back (USA);3 Ninjas Kick Back (USA);Super Famicom;;;;;;;;;;;;;;;;;;
3-jigen Kakutou Ballz (Japan);3-jigen Kakutou Ballz (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
3x3 Eyes - Juuma Houkan (Japan);3x3 Eyes - Juuma Houkan (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
3x3 Eyes - Seima Kourinden (Japan);3x3 Eyes - Seima Kourinden (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
4-nin Shougi (Japan);4-nin Shougi (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
46 Okunen Monogatari - Harukanaru Eden e (Japan);46 Okunen Monogatari - Harukanaru Eden e (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
7th Saga, The (USA);7th Saga, The (USA);Super Famicom;;;;;;;;;;;;;;;;;;
90 Minutes - European Prime Goal (Europe);90 Minutes - European Prime Goal (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
A.S.P. - Air Strike Patrol (USA);A.S.P. - Air Strike Patrol (USA);Super Famicom;;;;;;;;;;;;;;;;;;
ABC Monday Night Football (Japan);ABC Monday Night Football (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
ACME Animation Factory (Europe);ACME Animation Factory (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
AIII S.V. - A Ressha de Ikou 3 - Super Version (Japan);AIII S.V. - A Ressha de Ikou 3 - Super Version (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Aaahh!!! Real Monsters (Europe);Aaahh!!! Real Monsters (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Accele Brid (Japan);Accele Brid (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Ace o Nerae! (Japan);Ace o Nerae! (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Acrobat Mission (Japan) (En);Acrobat Mission (Japan) (En);Super Famicom;;;;;;;;;;;;;;;;;;
ActRaiser 2 - Chinmoku e no Seisen (Japan);ActRaiser 2 - Chinmoku e no Seisen (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Action Pachio (Japan);Action Pachio (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
